sexo,estilo,distancia,qt25_A_s,qt50_A_s,qt25_B_s,qt50_B_s,factor_wa_A,factor_wa_B,n_pares,factor_real,qt50_equivalente_s,brecha_s,mas_facil_en,prueba
F,MEDLEY,400,277.46,283.06,287.17,292.97,1.0201830894543358,1.0201970957969149,570,1.0333675674942624,286.718165276958,3.658165276958016,25 m,400 Combinado
F,BUTTERFLY,200,128.85,129.21,133.36,133.73,1.0027939464493598,1.0027744451109777,649,1.0249587767950832,132.06593839004645,2.855938390046447,25 m,200 Mariposa
F,FREESTYLE,400,246.27,250.23,254.89,258.99,1.0160799122913875,1.0160853701596768,1220,1.0260532458013234,252.68613284349192,2.456132843491929,25 m,400 Libre
M,BREASTSTROKE,200,126.23,130.32,130.65,134.88,1.0324011724629643,1.0323765786452352,1157,1.0451685079009927,131.93162075234233,1.6116207523423327,25 m,200 Pecho
M,FREESTYLE,400,222.18,228.15,229.96,236.14,1.0268701053200109,1.0268742389980865,1508,1.0337618959081873,229.68121803288108,1.5312180328810712,25 m,400 Libre
M,MEDLEY,400,248.87,257.48,257.58,266.49,1.0345963756177925,1.0345911949685536,731,1.0400444497360797,258.83586220581816,1.3558622058181413,25 m,400 Combinado
F,BREASTSTROKE,200,141.91,145.91,146.88,151.02,1.028186879007822,1.028186274509804,1003,1.0329089264593336,146.58010575384404,0.6701057538440409,25 m,200 Pecho
M,MEDLEY,200,115.25,119.05,119.28,123.22,1.0329718004338395,1.0330315224681421,1178,1.038772276942745,119.71850491765136,0.6685049176513616,25 m,200 Combinado
F,MEDLEY,200,129.37,132.83,133.9,137.48,1.0267449949756513,1.0267363704256907,1041,1.0308624170752811,133.36267089702912,0.5326708970291065,25 m,200 Combinado
M,BUTTERFLY,200,113.19,116.50999999999999,117.15,120.59,1.0293312130046823,1.0293640631668801,926,1.033901765529327,117.02734084026451,0.5173408402645236,25 m,200 Mariposa
M,FREESTYLE,200,103.47999999999999,106.7,107.1,110.43,1.0311171240819483,1.03109243697479,2666,1.0353092472779166,107.1338009083188,0.43380090831880125,25 m,200 Libre
F,BREASTSTROKE,100,64.97,66.87,67.24,69.21000000000001,1.0292442665845776,1.029298036882808,1623,1.0349837776837354,67.24289603611228,0.37289603611228017,25 m,100 Pecho
F,FREESTYLE,200,115.6,118.22999999999999,119.65,122.37,1.022750865051903,1.0227329711659006,2122,1.0254561817380043,118.54273460891329,0.31273460891330274,25 m,200 Libre
M,BREASTSTROKE,100,57.38,59.75,59.39,61.84,1.0413035901010805,1.0412527361508672,1904,1.0433047902379573,59.864828863853994,0.11482886385399382,25 m,100 Pecho
F,BUTTERFLY,100,57.4,58.33,59.41,60.37,1.0162020905923346,1.0161588958087864,1894,1.018063584165863,58.43684973112053,0.10684973112053342,25 m,100 Mariposa
M,FREESTYLE,100,46.89,48.34,48.53,50.03,1.0309234378332268,1.0309087162579849,4021,1.0312629399585922,48.35591925465839,0.015919254658385285,25 m,100 Libre
F,FREESTYLE,50,24.33,24.86,25.18,25.73,1.021783806000822,1.0218427323272439,3822,1.0207680496475138,24.835286647924008,-0.02471335207599168,50 m,50 Libre
F,FREESTYLE,100,53.02,54.25,54.88,56.15,1.0231987929083364,1.0231413994169096,3235,1.021973929236499,54.18505772811918,-0.0649422718808168,50 m,100 Libre
M,BACKSTROKE,200,112.11,118.07,116.03,122.2,1.0531620729640532,1.0531759027837628,995,1.0521158129175947,117.95270378619155,-0.11729621380844435,50 m,200 Espalda
M,FREESTYLE,50,21.19,22.05,21.93,22.82,1.0405851816894762,1.0405836753305975,4564,1.0303921121021116,21.834008855443745,-0.21599114455625568,50 m,50 Libre
F,BACKSTROKE,200,125.54,131.08,129.93,135.67,1.0441293611597897,1.0441776341106748,997,1.0413377029643975,130.72953523015047,-0.35046476984953756,50 m,200 Espalda
M,BUTTERFLY,100,50.15,51.77,51.91,53.58,1.0323030907278166,1.0321710653053362,2565,1.0239918325676365,51.35319040326697,-0.41680959673303164,50 m,100 Mariposa
F,BACKSTROKE,100,57.52,60.46,59.53,62.58,1.0511126564673157,1.051234671594154,1755,1.0422297297297298,59.94905405405406,-0.5109459459459416,50 m,100 Espalda
M,BACKSTROKE,100,50.81,53.94,52.59,55.83,1.0616020468411729,1.0616086708499715,1768,1.0502625011833444,53.36383768512573,-0.5761623148742672,50 m,100 Espalda
