sexo,estilo,distancia,n,factor,ic_bajo,ic_alto,ancho
F,BUTTERFLY,100,1436,1.014530535682933,1.0129699556723035,1.0160023698564156,0.0030324141841120422
F,FREESTYLE,100,1677,1.0197896238188626,1.019005438663229,1.0209816410640689,0.0019762024008398438
F,FREESTYLE,50,1692,1.0200559268541725,1.0188151392519367,1.021112327131629,0.002297187879692242
M,BUTTERFLY,100,1542,1.0204460525909433,1.0190659523565841,1.0219855719683957,0.0029196196118115303
F,FREESTYLE,200,1470,1.0227057720105828,1.0216417148635202,1.0239462030506807,0.0023044881871605583
F,BUTTERFLY,200,649,1.0249587767950832,1.022977174490028,1.02775705118639,0.00477987669636204
F,FREESTYLE,400,1145,1.0254335260115608,1.0240765402677507,1.0264944080215963,0.0024178677538455595
M,FREESTYLE,50,1747,1.0292869269949068,1.028301886792453,1.0303030303030305,0.0020011435105775632
M,FREESTYLE,100,1745,1.030424339471577,1.0294663094992789,1.031618379931438,0.0021520704321591477
F,MEDLEY,200,968,1.0305598491536616,1.029286905279728,1.0318345534768716,0.0025476481971435927
M,FREESTYLE,400,1336,1.0319269831895506,1.0309738129458235,1.0337239067850006,0.0027500938391771257
M,FREESTYLE,200,1620,1.0326321020847296,1.0309780215490512,1.0338299024716553,0.002851880922604133
F,BREASTSTROKE,200,998,1.032891822668746,1.0312815338042385,1.0350974952251732,0.003815961420934766
F,MEDLEY,400,570,1.0333675674942624,1.0313484622482625,1.0350001697389417,0.0036517074906792235
F,BREASTSTROKE,100,1423,1.0334716459197788,1.0323822163238223,1.0355804232996073,0.0031982069757849896
M,BUTTERFLY,200,926,1.033901765529327,1.0318685289871712,1.0356546686888495,0.0037861397016782927
M,MEDLEY,200,1073,1.038931643277501,1.037433962264151,1.0408112787534007,0.00337731648924966
M,MEDLEY,400,731,1.0400444497360797,1.037960700297928,1.042608227052272,0.004647526754343989
F,BACKSTROKE,100,1453,1.0408921933085502,1.039759438690277,1.0424153166421206,0.0026558779518435216
F,BACKSTROKE,200,988,1.0413477877682515,1.0399434809261656,1.042795051822133,0.002851570895967326
M,BREASTSTROKE,100,1563,1.0414578587699317,1.0399527983816588,1.0428079628798084,0.0028551644981495983
M,BREASTSTROKE,200,1150,1.0450411360623102,1.0430736964898455,1.0467270452459636,0.0036533487561181133
M,BACKSTROKE,100,1366,1.049085926517026,1.0476830380415099,1.0504182125024515,0.002735174460941625
M,BACKSTROKE,200,989,1.0521091811414391,1.0503806011143373,1.0537142857142856,0.0033336845999483167
