sexo,estilo,distancia,n,factor,ic_bajo,ic_alto,dif_mediana_s,por_vuelta_s,ancho
F,BUTTERFLY,100,1894,1.018063584165863,1.0167086855969902,1.0195044172307273,1.1600000000000001,0.5800000000000001,0.002795731633737031
F,FREESTYLE,50,3822,1.0207680496475138,1.019692928608724,1.0217056062620213,0.5799999999999983,0.5799999999999983,0.002012677653297379
F,FREESTYLE,100,3235,1.021973929236499,1.0210119347789544,1.0228488792480117,1.3100000000000025,0.6550000000000011,0.0018369444690573555
M,BUTTERFLY,100,2565,1.0239918325676365,1.022869022869023,1.0250497017892646,1.3800000000000026,0.6900000000000013,0.002180678920241652
F,BUTTERFLY,200,649,1.0249587767950832,1.0229899820190085,1.0276719782355228,3.4799999999999898,0.8699999999999974,0.004681996216514328
F,FREESTYLE,200,2122,1.0254561817380043,1.0244729374916246,1.026639400067662,3.280000000000001,0.8200000000000003,0.0021664625760373646
F,FREESTYLE,400,1220,1.0260532458013234,1.024921614816503,1.027162339200924,6.945000000000022,0.8681250000000027,0.0022407243844209113
M,FREESTYLE,50,4564,1.0303921121021116,1.029497944440273,1.0314591889099687,0.740000000000002,0.740000000000002,0.0019612444696957
F,MEDLEY,200,1041,1.0308624170752811,1.029413795484361,1.0320410908646205,4.390000000000015,1.0975000000000037,0.00262729538025952
M,FREESTYLE,100,4021,1.0312629399585922,1.030105920904539,1.0321822455252214,1.6499999999999986,0.8249999999999993,0.0020763246206825237
F,BREASTSTROKE,200,1003,1.0329089264593336,1.031306806705716,1.0351025215576661,5.219999999999999,1.3049999999999995,0.0037957148519500716
F,MEDLEY,400,570,1.0333675674942624,1.0313661184234177,1.0350279276720629,9.844999999999999,1.2306249999999999,0.0036618092486451204
M,FREESTYLE,400,1508,1.0337618959081873,1.0322396584138964,1.0353391859832848,8.235000000000014,1.0293750000000017,0.0030995275693883606
M,BUTTERFLY,200,926,1.033901765529327,1.0318240104171825,1.0356061894515545,4.189999999999998,1.0474999999999994,0.0037821790343719464
F,BREASTSTROKE,100,1623,1.0349837776837354,1.0328333530175977,1.0366046980832977,2.549999999999997,1.2749999999999986,0.0037713450656999825
M,FREESTYLE,200,2666,1.0353092472779166,1.0344237293853131,1.0364194195313194,4.070000000000007,1.0175000000000018,0.0019956901460063126
M,MEDLEY,200,1178,1.038772276942745,1.0373444905319171,1.0405422666836779,4.960000000000008,1.240000000000002,0.003197776151760756
M,MEDLEY,400,731,1.0400444497360797,1.0380658436213992,1.042608227052272,10.840000000000032,1.355000000000004,0.004542383430872876
F,BACKSTROKE,200,997,1.0413377029643975,1.0398516471529344,1.0427714760494184,5.819999999999993,1.4549999999999983,0.0029198288964840113
F,BACKSTROKE,100,1755,1.0422297297297298,1.0408398044291054,1.043692644843172,2.75,1.375,0.0028528404140666375
M,BREASTSTROKE,100,1904,1.0433047902379573,1.0420037210557263,1.0447483960965478,2.780000000000001,1.3900000000000006,0.0027446750408215426
M,BREASTSTROKE,200,1157,1.0451685079009927,1.0431522458281262,1.0468052455357142,6.240000000000009,1.5600000000000025,0.003652999707588034
M,BACKSTROKE,100,1768,1.0502625011833444,1.0487228831173112,1.0518878731192167,2.914999999999999,1.4574999999999996,0.00316499000190551
M,BACKSTROKE,200,995,1.0521158129175947,1.050424883758217,1.0537142857142856,6.510000000000005,1.6275000000000013,0.0032894019560685273
