sexo,estilo,n,b1,b1_lo,b1_hi,b0,b0_lo,b0_hi,r2
F,BACKSTROKE,2752,1.52539440258096,1.4209049416268231,1.629883863535097,-0.2160309704040852,-0.5179202407542112,0.08585829994604083,0.22941398597568174
F,BREASTSTROKE,2626,1.4510087144604427,1.3269830801783289,1.5750343487425564,-0.3519311689085605,-0.715294461084823,0.011432123267701932,0.16693401601676094
F,BUTTERFLY,2543,1.2753184942149598,1.148025315158114,1.4026116732718057,-1.2576222049029868,-1.5959090571002907,-0.9193353527056829,0.13175755851244686
F,FREESTYLE,10399,0.9779214256525719,0.9483450204786117,1.007497830826532,-0.5201920846354953,-0.6242793056734315,-0.416104863597559,0.28772091812015577
F,MEDLEY,1611,1.4120140932301897,1.2904335789615013,1.533594607498878,-1.154867131806439,-1.853116634362924,-0.45661762924995386,0.24359170367569105
M,BACKSTROKE,2763,1.8572889617772061,1.7472754870259999,1.9673024365284124,-0.7571457968575812,-1.0744996786981558,-0.43979191501700676,0.28395674326395626
M,BREASTSTROKE,3061,1.8083390855262025,1.696537246638453,1.920140924413952,-0.6943935071868843,-1.0210342583679295,-0.3677527560058391,0.24729670417093774
M,BUTTERFLY,3491,1.4256416855072662,1.324599368310457,1.5266840027040753,-1.469899355419985,-1.7407048697347345,-1.1990938411052356,0.179784865106413
M,FREESTYLE,12759,1.1305416113625417,1.1050292991261812,1.1560539235989022,-0.4957471036824372,-0.586039593949795,-0.4054546134150794,0.37159866604431113
M,MEDLEY,1909,1.5581742020257252,1.4427961336663921,1.6735522703850583,-1.3307698131962507,-2.0072858857387796,-0.6542537406537219,0.2686886200846247
